# NACA 0012, unit chord, closed polyline, counter-clockwise,
# first point NOT repeated (the solver closes the loop implicitly).
# Analytic 4-digit thickness law with the SHARP-TE coefficient (-0.1036),
# cosine spacing, 198 points.  Max thickness 12.00% chord at x/c=0.30.
1.00000000 -0.00000000
0.99974827 0.00003658
0.99899334 0.00014622
0.99773596 0.00032859
0.99597741 0.00058316
0.99371944 0.00090917
0.99096435 0.00130567
0.98771489 0.00177151
0.98397435 0.00230534
0.97974649 0.00290565
0.97503556 0.00357073
0.96984631 0.00429874
0.96418397 0.00508767
0.95805423 0.00593537
0.95146327 0.00683958
0.94441772 0.00779793
0.93692469 0.00880793
0.92899171 0.00986703
0.92062677 0.01097258
0.91183829 0.01212187
0.90263513 0.01331215
0.89302655 0.01454060
0.88302222 0.01580439
0.87263222 0.01710064
0.86186702 0.01842646
0.85073744 0.01977893
0.83925471 0.02115513
0.82743037 0.02255211
0.81527633 0.02396693
0.80280484 0.02539661
0.79002845 0.02683820
0.77696003 0.02828869
0.76361273 0.02974510
0.75000000 0.03120439
0.73613554 0.03266353
0.72203331 0.03411944
0.70770751 0.03556902
0.69317256 0.03700913
0.67844311 0.03843660
0.66353398 0.03984820
0.64846019 0.04124066
0.63323691 0.04261068
0.61787947 0.04395487
0.60240333 0.04526984
0.58682409 0.04655211
0.57115742 0.04779817
0.55541910 0.04900448
0.53962498 0.05016745
0.52379096 0.05128347
0.50793298 0.05234889
0.49206702 0.05336010
0.47620904 0.05431344
0.46037502 0.05520531
0.44458090 0.05603212
0.42884258 0.05679034
0.41317591 0.05747651
0.39759667 0.05808726
0.38212053 0.05861932
0.36676309 0.05906955
0.35153981 0.05943498
0.33646602 0.05971277
0.32155689 0.05990030
0.30682744 0.05999514
0.29229249 0.05999510
0.27796669 0.05989823
0.26386446 0.05970283
0.25000000 0.05940750
0.23638727 0.05901110
0.22303997 0.05851280
0.20997155 0.05791208
0.19719516 0.05720873
0.18472367 0.05640284
0.17256963 0.05549483
0.16074529 0.05448542
0.14926256 0.05337563
0.13813298 0.05216679
0.12736778 0.05086050
0.11697778 0.04945862
0.10697345 0.04796328
0.09736487 0.04637683
0.08816171 0.04470182
0.07937323 0.04294098
0.07100829 0.04109721
0.06307531 0.03917353
0.05558228 0.03717304
0.04853673 0.03509892
0.04194577 0.03295438
0.03581603 0.03074264
0.03015369 0.02846688
0.02496444 0.02613021
0.02025351 0.02373567
0.01602565 0.02128616
0.01228511 0.01878444
0.00903565 0.01623309
0.00628056 0.01363450
0.00402259 0.01099083
0.00226404 0.00830400
0.00100666 0.00557570
0.00025173 0.00280732
0.00000000 -0.00000000
0.00025173 -0.00280732
0.00100666 -0.00557570
0.00226404 -0.00830400
0.00402259 -0.01099083
0.00628056 -0.01363450
0.00903565 -0.01623309
0.01228511 -0.01878444
0.01602565 -0.02128616
0.02025351 -0.02373567
0.02496444 -0.02613021
0.03015369 -0.02846688
0.03581603 -0.03074264
0.04194577 -0.03295438
0.04853673 -0.03509892
0.05558228 -0.03717304
0.06307531 -0.03917353
0.07100829 -0.04109721
0.07937323 -0.04294098
0.08816171 -0.04470182
0.09736487 -0.04637683
0.10697345 -0.04796328
0.11697778 -0.04945862
0.12736778 -0.05086050
0.13813298 -0.05216679
0.14926256 -0.05337563
0.16074529 -0.05448542
0.17256963 -0.05549483
0.18472367 -0.05640284
0.19719516 -0.05720873
0.20997155 -0.05791208
0.22303997 -0.05851280
0.23638727 -0.05901110
0.25000000 -0.05940750
0.26386446 -0.05970283
0.27796669 -0.05989823
0.29229249 -0.05999510
0.30682744 -0.05999514
0.32155689 -0.05990030
0.33646602 -0.05971277
0.35153981 -0.05943498
0.36676309 -0.05906955
0.38212053 -0.05861932
0.39759667 -0.05808726
0.41317591 -0.05747651
0.42884258 -0.05679034
0.44458090 -0.05603212
0.46037502 -0.05520531
0.47620904 -0.05431344
0.49206702 -0.05336010
0.50793298 -0.05234889
0.52379096 -0.05128347
0.53962498 -0.05016745
0.55541910 -0.04900448
0.57115742 -0.04779817
0.58682409 -0.04655211
0.60240333 -0.04526984
0.61787947 -0.04395487
0.63323691 -0.04261068
0.64846019 -0.04124066
0.66353398 -0.03984820
0.67844311 -0.03843660
0.69317256 -0.03700913
0.70770751 -0.03556902
0.72203331 -0.03411944
0.73613554 -0.03266353
0.75000000 -0.03120439
0.76361273 -0.02974510
0.77696003 -0.02828869
0.79002845 -0.02683820
0.80280484 -0.02539661
0.81527633 -0.02396693
0.82743037 -0.02255211
0.83925471 -0.02115513
0.85073744 -0.01977893
0.86186702 -0.01842646
0.87263222 -0.01710064
0.88302222 -0.01580439
0.89302655 -0.01454060
0.90263513 -0.01331215
0.91183829 -0.01212187
0.92062677 -0.01097258
0.92899171 -0.00986703
0.93692469 -0.00880793
0.94441772 -0.00779793
0.95146327 -0.00683958
0.95805423 -0.00593537
0.96418397 -0.00508767
0.96984631 -0.00429874
0.97503556 -0.00357073
0.97974649 -0.00290565
0.98397435 -0.00230534
0.98771489 -0.00177151
0.99096435 -0.00130567
0.99371944 -0.00090917
0.99597741 -0.00058316
0.99773596 -0.00032859
0.99899334 -0.00014622
0.99974827 -0.00003658
